Age,DiagnoseYear,Sex,Population
"[30,33)",2008,0,1523857
"[33,36)",2008,0,2365694
"[36,39)",2008,0,2591894
"[39,42)",2008,0,2451253
"[42,45)",2008,0,2358810
"[45,48)",2008,0,1528359
"[48,51)",2008,0,996439
"[51,54)",2008,0,1636310
"[54,57)",2008,0,1816722
"[57,60)",2008,0,1431378
"[60,63)",2008,0,1160239
"[63,66)",2008,0,1047128
"[66,69)",2008,0,904809
"[69,72)",2008,0,756207
"[72,75)",2008,0,635897
"[75,78)",2008,0,537563
"[78,Inf)",2008,0,1127890
"[0,12)",2009,1,4577366
"[12,15)",2009,1,1899444
"[15,18)",2009,1,1916125
"[18,21)",2009,1,2214034
"[21,24)",2009,1,2262134
"[24,27)",2009,1,1351258
"[27,30)",2009,1,1292129
"[30,33)",2009,1,1269766
"[33,36)",2009,1,2182418
"[36,39)",2009,1,2593639
"[39,42)",2009,1,2708210
"[42,45)",2009,1,2343519
"[45,48)",2009,1,2140934
"[48,51)",2009,1,780018
"[51,54)",2009,1,1600485
"[54,57)",2009,1,1845288
"[57,60)",2009,1,1555369
"[60,63)",2009,1,1387194
"[63,66)",2009,1,1124352
"[66,69)",2009,1,985508
"[69,72)",2009,1,832424
"[72,75)",2009,1,671562
"[75,78)",2009,1,508519
"[78,Inf)",2009,1,924260
"[0,12)",2009,0,4094929
"[12,15)",2009,0,1770315
"[15,18)",2009,0,1761443
"[18,21)",2009,0,2005627
"[21,24)",2009,0,2091254
"[24,27)",2009,0,1235197
"[27,30)",2009,0,1223540
"[30,33)",2009,0,1314410
"[33,36)",2009,0,2188179
"[36,39)",2009,0,2526553
"[39,42)",2009,0,2638273
"[42,45)",2009,0,2294054
"[45,48)",2009,0,2064337
"[48,51)",2009,0,747632
"[51,54)",2009,0,1475467
"[54,57)",2009,0,1805784
"[57,60)",2009,0,1540119
"[60,63)",2009,0,1283991
"[63,66)",2009,0,1071945
"[66,69)",2009,0,938522
"[69,72)",2009,0,795138
"[72,75)",2009,0,674843
"[75,78)",2009,0,536360
"[78,Inf)",2009,0,1183842
"[0,12)",2010,1,4323670
"[12,15)",2010,1,1752594
"[15,18)",2010,1,2040070
"[18,21)",2010,1,2049872
"[21,24)",2010,1,2306492
"[24,27)",2010,1,1675721
"[27,30)",2010,1,1375579
"[30,33)",2010,1,1131182
"[33,36)",2010,1,1879803
"[36,39)",2010,1,2460293
"[39,42)",2010,1,2676130
"[42,45)",2010,1,2425856
"[45,48)",2010,1,2520107
"[48,51)",2010,1,926745
"[51,54)",2010,1,1370469
"[54,57)",2010,1,1765830
"[57,60)",2010,1,1681526
"[60,63)",2010,1,1401503
"[63,66)",2010,1,1166480
"[66,69)",2010,1,1010619
