Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[18,21)",2012,0,221596,147,187
5101,Chengdu,"[18,21)",2012,1,229475,223,180
5101,Chengdu,"[18,21)",2013,0,225504,122,165
5101,Chengdu,"[18,21)",2013,1,231820,186,225
5101,Chengdu,"[18,21)",2014,0,212622,124,179
5101,Chengdu,"[18,21)",2014,1,219711,191,279
5101,Chengdu,"[18,21)",2015,0,209277,138,156
5101,Chengdu,"[18,21)",2015,1,215183,194,275
5101,Chengdu,"[18,21)",2016,0,197256,107,154
5101,Chengdu,"[18,21)",2016,1,204359,186,263
5101,Chengdu,"[18,21)",2017,0,200364,93,145
5101,Chengdu,"[18,21)",2017,1,206288,152,270
5101,Chengdu,"[18,21)",2018,0,192208,72,131
5101,Chengdu,"[18,21)",2018,1,200615,175,280
5101,Chengdu,"[21,24)",2005,0,279824,235,154
5101,Chengdu,"[21,24)",2005,1,275504,445,408
5101,Chengdu,"[21,24)",2006,0,265488,227,140
5101,Chengdu,"[21,24)",2006,1,257878,417,389
5101,Chengdu,"[21,24)",2007,0,288122,239,176
5101,Chengdu,"[21,24)",2007,1,283001,434,358
5101,Chengdu,"[21,24)",2008,0,327135,285,224
5101,Chengdu,"[21,24)",2008,1,325673,456,337
5101,Chengdu,"[21,24)",2009,0,334111,307,370
5101,Chengdu,"[21,24)",2009,1,334906,506,437
5101,Chengdu,"[21,24)",2010,0,330676,250,469
5101,Chengdu,"[21,24)",2010,1,332150,391,384
5101,Chengdu,"[21,24)",2011,0,305780,240,393
5101,Chengdu,"[21,24)",2011,1,309055,332,383
5101,Chengdu,"[21,24)",2012,0,292673,210,343
5101,Chengdu,"[21,24)",2012,1,297670,374,304
5101,Chengdu,"[21,24)",2013,0,263675,193,279
5101,Chengdu,"[21,24)",2013,1,270371,296,444
5101,Chengdu,"[21,24)",2014,0,249814,176,227
5101,Chengdu,"[21,24)",2014,1,256133,288,460
5101,Chengdu,"[21,24)",2015,0,229821,165,250
5101,Chengdu,"[21,24)",2015,1,236965,225,521
5101,Chengdu,"[21,24)",2016,0,231035,150,307
5101,Chengdu,"[21,24)",2016,1,236948,247,506
5101,Chengdu,"[21,24)",2017,0,217339,142,297
5101,Chengdu,"[21,24)",2017,1,224193,246,491
5101,Chengdu,"[21,24)",2018,0,214030,144,256
5101,Chengdu,"[21,24)",2018,1,219767,221,470
5101,Chengdu,"[24,27)",2005,0,290000,209,167
5101,Chengdu,"[24,27)",2005,1,298564,342,486
5101,Chengdu,"[24,27)",2006,0,330807,232,200
5101,Chengdu,"[24,27)",2006,1,335303,434,468
5101,Chengdu,"[24,27)",2007,0,354937,235,226
5101,Chengdu,"[24,27)",2007,1,352934,387,452
5101,Chengdu,"[24,27)",2008,0,340959,178,214
5101,Chengdu,"[24,27)",2008,1,330985,358,307
5101,Chengdu,"[24,27)",2009,0,325731,207,283
5101,Chengdu,"[24,27)",2009,1,313802,298,423
5101,Chengdu,"[24,27)",2010,0,342426,200,365
5101,Chengdu,"[24,27)",2010,1,334523,262,356
5101,Chengdu,"[24,27)",2011,0,371276,242,428
5101,Chengdu,"[24,27)",2011,1,368445,355,422
5101,Chengdu,"[24,27)",2012,0,366307,243,386
5101,Chengdu,"[24,27)",2012,1,366791,359,510
5101,Chengdu,"[24,27)",2013,0,351789,217,321
5101,Chengdu,"[24,27)",2013,1,353546,335,587
5101,Chengdu,"[24,27)",2014,0,318663,194,350
5101,Chengdu,"[24,27)",2014,1,322434,280,646
5101,Chengdu,"[24,27)",2015,0,300367,198,333
5101,Chengdu,"[24,27)",2015,1,305879,306,594
5101,Chengdu,"[24,27)",2016,0,268849,166,379
5101,Chengdu,"[24,27)",2016,1,276080,291,536
5101,Chengdu,"[24,27)",2017,0,254206,167,360
5101,Chengdu,"[24,27)",2017,1,261148,237,540
5101,Chengdu,"[24,27)",2018,0,234215,150,351
5101,Chengdu,"[24,27)",2018,1,242137,223,533
5101,Chengdu,"[27,30)",2005,0,303015,213,144
5101,Chengdu,"[27,30)",2005,1,302517,339,428
5101,Chengdu,"[27,30)",2006,0,295131,172,144
5101,Chengdu,"[27,30)",2006,1,296589,278,373
5101,Chengdu,"[27,30)",2007,0,299568,169,162
5101,Chengdu,"[27,30)",2007,1,302943,260,334
5101,Chengdu,"[27,30)",2008,0,346519,171,148
5101,Chengdu,"[27,30)",2008,1,352652,290,301
5101,Chengdu,"[27,30)",2009,0,387419,157,283
5101,Chengdu,"[27,30)",2009,1,390125,274,383
5101,Chengdu,"[27,30)",2010,0,406863,153,339
5101,Chengdu,"[27,30)",2010,1,403837,209,385
5101,Chengdu,"[27,30)",2011,0,383966,133,296
5101,Chengdu,"[27,30)",2011,1,373680,219,382
5101,Chengdu,"[27,30)",2012,0,357689,144,188
5101,Chengdu,"[27,30)",2012,1,345948,192,327
5101,Chengdu,"[27,30)",2013,0,363754,142,220
5101,Chengdu,"[27,30)",2013,1,356266,219,441
5101,Chengdu,"[27,30)",2014,0,384515,176,275
5101,Chengdu,"[27,30)",2014,1,382118,234,616
5101,Chengdu,"[27,30)",2015,0,374351,161,371
