Pref,mid.cohort,low.cohort,high.cohort
5101,1984,1982,1986
5103,1981,1979,1983
5104,1981,1979,1983
5105,1981,1979,1983
5106,1981,1979,1983
5107,1981,1979,1983
5108,1981,1979,1983
5109,1981,1979,1983
5110,1981,1979,1983
5111,1981,1979,1983
5113,1981,1979,1983
5114,1981,1979,1983
5115,1981,1979,1983
5116,1981,1979,1983
5117,1981,1979,1983
5118,1981,1979,1983
5119,1981,1979,1983
5120,1981,1979,1983
5132,1984,1982,1986
5133,1984,1982,1986
5134,1978,1976,1980
