Pref,year,F1.prop,Pref.name
5120,1987,0.111322483,Ziyang
5120,1990,0.036509464,Ziyang
5120,1993,0.016735938,Ziyang
5120,1996,0.010155113,Ziyang
5120,1999,0.007077554,Ziyang
5132,1975,0.035472766,Aba
5132,1978,0.156238688,Aba
5132,1981,0.319597461,Aba
5132,1984,0.335641552,Aba
5132,1987,0.20004133,Aba
5132,1990,0.083822957,Aba
5132,1993,0.034481351,Aba
5132,1996,0.022048811,Aba
5132,1999,0.016500365,Aba
5133,1975,0.017938094,Ganzi
5133,1978,0.111336646,Ganzi
5133,1981,0.266998806,Ganzi
5133,1984,0.324138097,Ganzi
5133,1987,0.247998711,Ganzi
5133,1990,0.142225289,Ganzi
5133,1993,0.069864064,Ganzi
5133,1996,0.038167471,Ganzi
5133,1999,0.015887047,Ganzi
5134,1975,0.013544087,Liangshan
5134,1978,0.111508786,Liangshan
5134,1981,0.279694341,Liangshan
5134,1984,0.304811769,Liangshan
5134,1987,0.20422248,Liangshan
5134,1990,0.105794838,Liangshan
5134,1993,0.046386623,Liangshan
5134,1996,0.023225841,Liangshan
5134,1999,NA,Liangshan
