"Pref","F1.log.mean","F1.log.sd","F2.log.mean","F2.log.sd","F1.mean","F2.mean","F1.low","F1.high","F2.low","F2.high","CSSI","CITY_CODE","Pref.name","Population","CaseCount","incidence","CSSI.Female","CSSI.Male","size1","size2"
5101,0.0261121292666396,0.0313778550798347,NA,NA,1.02696082886696,NA,0.963551197715161,1.08901041820588,0.693798289318492,0.800997897454166,0.4773535,"5101","Chengdu",195677198,96985,49.5637718606335,0.486753617,0.468557259,2.89726273822997,NA
5103,-0.0321493165847296,0.0499107491765314,0.353653921867774,0.0599004108900617,0.969568811680288,1.42681892936922,0.876801906902633,1.06719116802867,1.26651712807737,1.60080321241755,0.5141079,"5103","Zigong",38319844,27789,72.5185624450872,0.526077283,0.502971045,1.82144912325082,1.40587145629636
5104,0.0151252006391268,0.0650392663629316,0.0461466315980477,0.0842122778907617,1.01738720841875,1.0509517667961,0.895493756316951,1.15180662267427,0.888893767163545,1.23601680085286,0.4307837,"5104","Panzhihua",16990248,10169,59.8519809716727,0.444026396,0.418673698,1.39776930786842,1
5105,-0.00760120818808756,0.0518225733674613,-0.00608785932862909,0.0604869099483045,0.993760613857952,0.995751540582923,0.895550844402489,1.09841728796825,0.883952589522152,1.11934821926894,0.4878759,"5105","Luzhou",59595728,58831,98.7168073523659,0.497881578,0.478271212,1.7542527207934,1.39223970876896
5106,0.163828904756738,0.0604702560567759,0.165656561922777,0.0783490651340032,1.18016613957425,1.18378787043843,1.04329921118461,1.32639409034665,1.0149353494379,1.3683215002478,0.4748961,"5106","Deyang",50160034,42287,84.3041693313047,0.477935277,0.472093477,1.50338193116016,1.07483449543055
5107,0.264605227929493,0.065595170897222,0.487620865942623,0.0629656914829863,1.30571808747895,1.63166278223204,1.14029392367832,1.4791727031154,1.43540063909921,1.83527303579224,0.4459316,"5107","Mianyang",66551438,61026,91.6974926973028,0.46061194,0.432776537,1.38592352279754,1.3374311614368
5108,0.227823333461865,0.0789369236668735,NA,NA,1.25976786584185,NA,1.07078038076497,1.45993162979176,3.28639984493896,4.59462895651346,0.4213953,"5108","Guangyuan",36241064,49750,137.275219071935,0.438733413,0.405599285,1.15167764469818,NA
5109,0.142859336295493,0.0640122962812048,0.367155069755321,0.063982912566769,1.15593147419385,1.44657296993756,1.01713459016964,1.30513840576142,1.2693333367789,1.63190037619903,0.4382262,"5109","Suining",45981768,37704,81.9977170081846,0.466580575,0.41102273,1.42019417533499,1.3161682473095
5110,0.293261617990267,0.0523823032124281,0.451918757881503,0.0633348192882005,1.34263194315108,1.57447914701487,1.20756831798008,1.48323168576222,1.38856199573627,1.78577750301771,0.5290661,"5110","Neijiang",52514582,47952,91.3117807926187,0.540200301,0.518848336,1.73550769540839,1.32963634912353
5111,0.185758642354182,0.0414814205380034,0.283392074337115,0.044957466753543,1.20516681616478,1.32896775114792,1.10632604440548,1.30336961099133,1.21799082342339,1.44560142287782,0.5423747,"5111","Leshan",45913720,31107,67.7509903357863,0.551365056,0.53393466,2.19158093308539,1.87315442732602
